emo,audio,text
生气,生气_5.wav,不止是有，甚至还在失控边缘，一旦爆发，后果不堪设想。
开心,开心_107.wav,有好友你的祝福，本堂主“咻”地一下就统统搞定了。
开心,开心_463.wav,嘻嘻，你啊，真是个叫人开心的好朋友！
开心,开心_473.wav,突然来找我，怎么怎么？想我了吗？
得意,得意_134.wav,而能把大家聚到一起的本堂主，就是最了不起的人咯！
得意,得意_43.wav,哎呀，本堂主略施小计，你就败下阵来了，嘿嘿。
兴奋,兴奋_432.wav,嘻嘻，月亮出来喽~咱也出门吧。
兴奋,兴奋_60.wav,哎呀，这一有食欲，人也有精神了，我们快抓紧时间排练吧！
严肃,难过_398.wav,又过了很长时间，璃月港繁荣兴旺，所有人都在追逐名誉与摩拉，最后，疯狂的人触动了死亡的“遗产”。
严肃,难过_399.wav,魔神残渣肆虐人世，具体的就不提了，总之那是“生”于极致的自毁，也是“死”在尽头的反噬。
吃惊,吃惊_482.wav,噫…这是什么东西呀？
喜欢,喜欢_470.wav,我呀，就是喜欢跟你一起玩。你要是不陪我，就是不拿我当朋友哦。
喜欢,喜欢_473.wav,突然来找我，怎么怎么？想我了吗？
喜欢,喜欢_449.wav,唔~再说，你对我这么好，我可喜欢这儿了。
喜欢,喜欢_466.wav,你家有山有水，有吃有玩，还有你陪我，多好啊。
怀疑,怀疑_4.wav,又或者说，你已经察觉到了…却还想拿“它”干什么好事？
怀疑,怀疑_7.wav,哦？你不是向来防着我吗？这次倒挺大方。
尴尬,尴尬_347.wav,哦哦，对哦，忘记说了，哈哈，但是无所谓吧。
赞赏,赞赏_94.wav,这位新朋友的理解能力很了不得嘛。
赞赏,赞赏_223.wav,嘿嘿，我很满意，比原来冰冰凉凉的宣传词好多了！一定能打动人心！
感激,感激_251.wav,谢谢你们，还是你们最理解我的想法！
失落,失望_246.wav,又失败了，唉，不过，也还好吧。
不满,不满_3.wav,我说白术，你不会看不出来吧？难不成你师父，忘了教你这门功夫？
不满,不满_348.wav,喂，怎么能用“奇怪”来形容我呀？至少也该是天真烂漫、不拘一格吧！
着急,着急_241.wav,身体不舒服可是要紧事，很可能是严重病症的预兆。
着急,着急_243.wav,唉，为什么生气了？我只是在很真诚地讲健康的重要性啊。
